GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lottoland,com.lottoland.kafka,KafkaConsumer,0,57,0,0,0,10,0,4,0,4
lottoland,com.lottoland.kafka,KafkaProducer,0,58,0,0,0,15,0,3,0,3
lottoland,com.lottoland.configuration,AppConfig,0,7,0,0,0,2,0,2,0,2
lottoland,com.lottoland.exception.handler,AppExceptionHandler,0,21,0,0,0,4,0,2,0,2
lottoland,com.lottoland.service,StatsService,8,116,1,3,0,16,2,9,1,8
lottoland,com.lottoland.service,JankenService,0,123,0,6,0,34,0,11,0,7
lottoland,com.lottoland.dto,ErrorDTO,5,81,0,8,2,20,1,11,1,7
lottoland,com.lottoland.dto,GlobalStatsJankenDTO,20,181,0,16,8,38,4,21,4,13
lottoland,com.lottoland.dto,StatsJankenDTO,20,81,2,8,6,20,3,11,2,7
lottoland,com.lottoland.dto,JankenDTO,20,181,0,16,8,38,4,21,4,13
lottoland,com.lottoland.api,JankenApiController,0,21,0,0,0,4,0,3,0,3
lottoland,com.lottoland.api,StatsApiController,0,20,0,0,0,4,0,3,0,3
lottoland,com.lottoland,LottolandApplication,5,3,0,0,2,1,1,1,1,1
lottoland,com.lottoland.exception,InvalidIdException,0,4,0,0,0,2,0,1,0,1
lottoland,com.lottoland.entity,JankenEntity,4,298,2,48,0,7,2,40,0,17
